homeownership,verified_income,income_band,emp_length_bucket,state,borrower_segment_id
OWN,Not Verified,Upper-Mid,6-10,MA,547
OWN,Source Verified,Upper-Mid,3-5,GA,548
MORTGAGE,Not Verified,Lower-Mid,3-5,GA,549
MORTGAGE,Not Verified,High,6-10,WV,550
OWN,Not Verified,High,1-2,IL,551
MORTGAGE,Not Verified,Low,0 or less,CO,552
OWN,Source Verified,Upper-Mid,,OR,553
MORTGAGE,Verified,Upper-Mid,6-10,FL,554
RENT,Source Verified,High,3-5,ND,555
RENT,Source Verified,Lower-Mid,6-10,TX,556
MORTGAGE,Source Verified,High,6-10,MD,557
MORTGAGE,Source Verified,Lower-Mid,3-5,WI,558
RENT,Not Verified,Lower-Mid,1-2,TX,559
MORTGAGE,Not Verified,High,6-10,IN,560
MORTGAGE,Not Verified,High,6-10,VA,561
OWN,Not Verified,High,6-10,CO,562
RENT,Source Verified,Low,0 or less,TX,563
RENT,Not Verified,Upper-Mid,1-2,MA,564
MORTGAGE,Verified,Lower-Mid,6-10,IL,565
MORTGAGE,Source Verified,Upper-Mid,3-5,IN,566
RENT,Verified,Lower-Mid,1-2,IL,567
RENT,Source Verified,Low,3-5,NM,568
RENT,Source Verified,Lower-Mid,1-2,NV,569
RENT,Not Verified,High,1-2,NY,570
MORTGAGE,Source Verified,Upper-Mid,1-2,SC,571
MORTGAGE,Not Verified,Upper-Mid,1-2,VA,572
MORTGAGE,Source Verified,Low,1-2,UT,573
RENT,Verified,High,3-5,CA,574
RENT,Source Verified,Low,1-2,MT,575
MORTGAGE,Source Verified,Lower-Mid,3-5,NY,576
RENT,Not Verified,Lower-Mid,6-10,CA,577
MORTGAGE,Source Verified,Lower-Mid,6-10,MN,578
MORTGAGE,Source Verified,High,6-10,CO,579
RENT,Source Verified,Lower-Mid,6-10,AL,580
RENT,Source Verified,Lower-Mid,1-2,MI,581
OWN,Source Verified,Upper-Mid,6-10,GA,582
MORTGAGE,Source Verified,High,3-5,GA,583
MORTGAGE,Source Verified,Lower-Mid,0 or less,WI,584
MORTGAGE,Not Verified,Lower-Mid,0 or less,WA,585
OWN,Not Verified,Low,,NY,586
MORTGAGE,Not Verified,Low,1-2,PA,587
MORTGAGE,Not Verified,High,6-10,TX,588
RENT,Not Verified,Lower-Mid,3-5,PA,589
RENT,Source Verified,Lower-Mid,6-10,FL,590
MORTGAGE,Verified,High,3-5,MN,591
RENT,Source Verified,High,1-2,MA,592
RENT,Not Verified,Upper-Mid,6-10,WI,593
RENT,Source Verified,Upper-Mid,6-10,MD,594
OWN,Source Verified,Lower-Mid,6-10,MI,595
OWN,Source Verified,Upper-Mid,6-10,SC,596
RENT,Source Verified,Upper-Mid,3-5,CO,597
MORTGAGE,Source Verified,Upper-Mid,6-10,MO,598
OWN,Source Verified,High,0 or less,AZ,599
MORTGAGE,Not Verified,Lower-Mid,6-10,IL,600
MORTGAGE,Verified,Low,3-5,SC,601
RENT,Source Verified,Upper-Mid,6-10,CT,602
RENT,Source Verified,Upper-Mid,3-5,MT,603
RENT,Source Verified,High,6-10,OR,604
RENT,Source Verified,Upper-Mid,1-2,CA,605
MORTGAGE,Source Verified,Lower-Mid,6-10,MO,606
RENT,Not Verified,Lower-Mid,1-2,MA,607
MORTGAGE,Source Verified,Low,3-5,GA,608
RENT,Source Verified,Upper-Mid,6-10,HI,609
OWN,Not Verified,Lower-Mid,3-5,MA,610
RENT,Not Verified,Upper-Mid,6-10,IL,611
OWN,Source Verified,Low,1-2,FL,612
MORTGAGE,Not Verified,Lower-Mid,6-10,SC,613
RENT,Verified,Low,,NJ,614
MORTGAGE,Not Verified,High,6-10,OH,615
MORTGAGE,Not Verified,Lower-Mid,1-2,MN,616
MORTGAGE,Source Verified,High,1-2,AZ,617
RENT,Not Verified,Upper-Mid,3-5,WA,618
RENT,Source Verified,Lower-Mid,1-2,MN,619
OWN,Source Verified,Lower-Mid,6-10,NM,620
RENT,Verified,Upper-Mid,3-5,OR,621
RENT,Verified,Low,1-2,AZ,622
MORTGAGE,Verified,Upper-Mid,3-5,ME,623
MORTGAGE,Source Verified,Upper-Mid,6-10,OH,624
MORTGAGE,Source Verified,Upper-Mid,3-5,TN,625
MORTGAGE,Not Verified,Lower-Mid,1-2,NC,626
MORTGAGE,Not Verified,Upper-Mid,,NY,627
MORTGAGE,Source Verified,Upper-Mid,1-2,IN,628
MORTGAGE,Not Verified,Low,6-10,HI,629
RENT,Source Verified,High,1-2,LA,630
RENT,Source Verified,Low,6-10,CO,631
MORTGAGE,Source Verified,Upper-Mid,6-10,AR,632
MORTGAGE,Verified,Upper-Mid,6-10,WA,633
MORTGAGE,Not Verified,Lower-Mid,0 or less,IL,634
OWN,Source Verified,Lower-Mid,3-5,OH,635
RENT,Verified,High,3-5,CO,636
MORTGAGE,Not Verified,Lower-Mid,6-10,KS,637
MORTGAGE,Not Verified,Lower-Mid,6-10,CA,638
RENT,Not Verified,Low,3-5,CA,639
RENT,Source Verified,Lower-Mid,6-10,HI,640
RENT,Not Verified,High,6-10,MA,641
MORTGAGE,Not Verified,High,1-2,NE,642
RENT,Source Verified,Lower-Mid,0 or less,AZ,643
MORTGAGE,Not Verified,Low,3-5,TX,644
MORTGAGE,Source Verified,Lower-Mid,1-2,AZ,645
RENT,Not Verified,Lower-Mid,1-2,CT,646
OWN,Not Verified,High,3-5,WI,647
OWN,Source Verified,Low,,WA,648
MORTGAGE,Source Verified,Lower-Mid,1-2,NY,649
RENT,Not Verified,Low,,OH,650
OWN,Not Verified,Upper-Mid,3-5,CA,651
OWN,Verified,Low,,FL,652
RENT,Not Verified,Lower-Mid,1-2,MD,653
MORTGAGE,Verified,High,6-10,CA,654
OWN,Source Verified,Low,1-2,GA,655
OWN,Verified,Lower-Mid,3-5,CO,656
OWN,Source Verified,Upper-Mid,3-5,TX,657
MORTGAGE,Source Verified,Low,6-10,MS,658
MORTGAGE,Not Verified,High,3-5,IN,659
MORTGAGE,Verified,High,6-10,PA,660
MORTGAGE,Not Verified,Low,,OH,661
RENT,Verified,Low,,WI,662
MORTGAGE,Verified,Upper-Mid,6-10,TX,663
RENT,Not Verified,Low,1-2,DC,664
RENT,Not Verified,Low,6-10,IL,665
RENT,Not Verified,High,0 or less,MO,666
RENT,Not Verified,Lower-Mid,6-10,PA,667
RENT,Not Verified,Upper-Mid,3-5,NY,668
MORTGAGE,Source Verified,Lower-Mid,3-5,CO,669
RENT,Verified,Lower-Mid,,CA,670
MORTGAGE,Not Verified,Low,0 or less,FL,671
MORTGAGE,Source Verified,Lower-Mid,3-5,ID,672
RENT,Source Verified,Lower-Mid,1-2,IL,673
MORTGAGE,Not Verified,Lower-Mid,1-2,OR,674
MORTGAGE,Not Verified,Lower-Mid,3-5,WI,675
MORTGAGE,Verified,Low,3-5,NJ,676
OWN,Source Verified,Upper-Mid,3-5,IL,677
RENT,Source Verified,Upper-Mid,6-10,NJ,678
MORTGAGE,Not Verified,Low,3-5,FL,679
RENT,Not Verified,Low,,NJ,680
RENT,Source Verified,Upper-Mid,3-5,OH,681
MORTGAGE,Verified,High,6-10,NE,682
OWN,Source Verified,Low,6-10,OK,683
MORTGAGE,Source Verified,Low,6-10,WA,684
RENT,Source Verified,High,0 or less,PA,685
MORTGAGE,Not Verified,Lower-Mid,3-5,CO,686
MORTGAGE,Source Verified,Lower-Mid,1-2,LA,687
MORTGAGE,Verified,Low,1-2,PA,688
MORTGAGE,Source Verified,Lower-Mid,1-2,DC,689
RENT,Verified,Lower-Mid,,VA,690
MORTGAGE,Not Verified,Low,3-5,PA,691
MORTGAGE,Verified,Low,0 or less,VA,692
RENT,Not Verified,Lower-Mid,1-2,VA,693
MORTGAGE,Source Verified,Upper-Mid,6-10,AZ,694
MORTGAGE,Source Verified,Upper-Mid,6-10,NH,695
MORTGAGE,Verified,Low,6-10,NV,696
MORTGAGE,Source Verified,High,3-5,KY,697
RENT,Source Verified,High,6-10,IL,698
OWN,Not Verified,Low,3-5,KS,699
MORTGAGE,Not Verified,High,6-10,MS,700
RENT,Verified,Upper-Mid,6-10,SC,701
OWN,Source Verified,Upper-Mid,6-10,KS,702
OWN,Source Verified,Upper-Mid,1-2,MI,703
OWN,Not Verified,Low,3-5,NH,704
MORTGAGE,Source Verified,Upper-Mid,6-10,LA,705
OWN,Source Verified,Low,6-10,TX,706
RENT,Not Verified,Low,0 or less,MO,707
OWN,Source Verified,High,0 or less,CA,708
OWN,Source Verified,Low,3-5,WV,709
MORTGAGE,Source Verified,Lower-Mid,1-2,AL,710
OWN,Not Verified,Lower-Mid,3-5,IN,711
RENT,Verified,Low,3-5,FL,712
MORTGAGE,Not Verified,High,0 or less,CO,713
OWN,Source Verified,High,6-10,TX,714
RENT,Not Verified,Low,3-5,AZ,715
MORTGAGE,Verified,Low,3-5,AR,716
OWN,Source Verified,Low,3-5,OR,717
OWN,Source Verified,Low,6-10,IL,718
RENT,Source Verified,Low,,VA,719
OWN,Not Verified,Upper-Mid,,IL,720
MORTGAGE,Verified,High,6-10,NV,721
OWN,Not Verified,Lower-Mid,,CA,722
MORTGAGE,Source Verified,Lower-Mid,3-5,OH,723
MORTGAGE,Source Verified,High,1-2,OK,724
RENT,Source Verified,Low,0 or less,CA,725
MORTGAGE,Not Verified,High,0 or less,OH,726
MORTGAGE,Source Verified,High,6-10,OR,727
RENT,Not Verified,High,1-2,MD,728
OWN,Source Verified,Upper-Mid,3-5,AZ,729
RENT,Source Verified,Lower-Mid,6-10,IL,730
RENT,Not Verified,Upper-Mid,6-10,WY,731
MORTGAGE,Verified,Upper-Mid,6-10,NC,732
RENT,Not Verified,Low,1-2,AZ,733
OWN,Source Verified,Low,1-2,KS,734
RENT,Source Verified,Lower-Mid,6-10,AZ,735
MORTGAGE,Not Verified,High,3-5,AR,736
MORTGAGE,Source Verified,High,3-5,MA,737
MORTGAGE,Source Verified,Upper-Mid,0 or less,WA,738
MORTGAGE,Not Verified,Low,3-5,IN,739
RENT,Verified,Lower-Mid,3-5,GA,740
RENT,Source Verified,Lower-Mid,0 or less,NC,741
RENT,Verified,Upper-Mid,6-10,LA,742
RENT,Source Verified,Lower-Mid,3-5,NH,743
RENT,Not Verified,,,IN,744
MORTGAGE,Not Verified,Upper-Mid,3-5,MN,745
OWN,Not Verified,Lower-Mid,6-10,TX,746
OWN,Not Verified,Upper-Mid,0 or less,CO,747
RENT,Verified,Lower-Mid,1-2,MO,748
OWN,Source Verified,Low,6-10,MO,749
RENT,Verified,Low,1-2,HI,750
MORTGAGE,Not Verified,Upper-Mid,6-10,MD,751
RENT,Not Verified,Lower-Mid,6-10,OR,752
RENT,Source Verified,Upper-Mid,6-10,LA,753
RENT,Source Verified,Low,3-5,NC,754
RENT,Not Verified,Lower-Mid,1-2,TN,755
MORTGAGE,Verified,Lower-Mid,3-5,IL,756
MORTGAGE,Source Verified,Upper-Mid,0 or less,MI,757
RENT,Not Verified,Low,3-5,NV,758
MORTGAGE,Source Verified,Lower-Mid,6-10,NH,759
RENT,Verified,Low,3-5,TX,760
MORTGAGE,Not Verified,Lower-Mid,6-10,IN,761
MORTGAGE,Source Verified,Low,6-10,NC,762
RENT,Not Verified,Upper-Mid,1-2,TN,763
RENT,Not Verified,Lower-Mid,6-10,WA,764
MORTGAGE,Source Verified,High,6-10,VA,765
MORTGAGE,Verified,Lower-Mid,6-10,AL,766
MORTGAGE,Not Verified,High,6-10,MA,767
MORTGAGE,Not Verified,Low,6-10,GA,768
MORTGAGE,Not Verified,Lower-Mid,1-2,CA,769
OWN,Verified,Low,3-5,SC,770
MORTGAGE,Not Verified,Low,3-5,NJ,771
RENT,Not Verified,Upper-Mid,1-2,VA,772
MORTGAGE,Source Verified,Lower-Mid,6-10,KY,773
OWN,Verified,Low,1-2,IN,774
RENT,Not Verified,High,1-2,FL,775
MORTGAGE,Not Verified,Lower-Mid,6-10,GA,776
OWN,Not Verified,Upper-Mid,6-10,VA,777
RENT,Verified,Upper-Mid,1-2,DC,778
RENT,Verified,High,6-10,UT,779
RENT,Source Verified,Lower-Mid,6-10,AR,780
MORTGAGE,Not Verified,Lower-Mid,3-5,NE,781
OWN,Verified,Lower-Mid,0 or less,NJ,782
RENT,Not Verified,Upper-Mid,6-10,MD,783
RENT,Not Verified,Low,3-5,OH,784
MORTGAGE,Source Verified,High,3-5,CO,785
MORTGAGE,Source Verified,High,6-10,GA,786
RENT,Not Verified,Upper-Mid,6-10,FL,787
MORTGAGE,Not Verified,Upper-Mid,,MI,788
MORTGAGE,Verified,High,1-2,CA,789
MORTGAGE,Verified,Lower-Mid,3-5,TX,790
MORTGAGE,Verified,High,6-10,MI,791
OWN,Verified,Upper-Mid,6-10,NC,792
MORTGAGE,Source Verified,High,1-2,MA,793
RENT,Verified,Lower-Mid,6-10,FL,794
MORTGAGE,Verified,Low,1-2,CT,795
MORTGAGE,Not Verified,Lower-Mid,1-2,TN,796
MORTGAGE,Not Verified,Upper-Mid,6-10,CO,797
OWN,Not Verified,Upper-Mid,3-5,ME,798
RENT,Verified,Lower-Mid,1-2,NY,799
RENT,Source Verified,High,0 or less,FL,800
RENT,Not Verified,Low,1-2,FL,801
MORTGAGE,Not Verified,Upper-Mid,0 or less,IL,802
MORTGAGE,Source Verified,High,3-5,MD,803
RENT,Not Verified,Lower-Mid,3-5,MA,804
OWN,Source Verified,Low,6-10,WV,805
RENT,Source Verified,Low,1-2,FL,806
MORTGAGE,Source Verified,Low,6-10,CO,807
MORTGAGE,Verified,Lower-Mid,1-2,NY,808
MORTGAGE,Verified,Lower-Mid,6-10,IN,809
RENT,Source Verified,Low,6-10,VA,810
RENT,Source Verified,Lower-Mid,,CA,811
MORTGAGE,Source Verified,High,6-10,OK,812
RENT,Verified,Low,3-5,PA,813
OWN,Source Verified,Lower-Mid,0 or less,MI,814
RENT,Not Verified,Lower-Mid,1-2,WV,815
MORTGAGE,Source Verified,Lower-Mid,6-10,TN,816
MORTGAGE,Source Verified,Low,3-5,NV,817
RENT,Verified,Lower-Mid,3-5,WA,818
MORTGAGE,Verified,Lower-Mid,6-10,TN,819
OWN,Not Verified,Lower-Mid,6-10,MO,820
OWN,Not Verified,High,3-5,GA,821
RENT,Not Verified,High,1-2,TX,822
RENT,Source Verified,Upper-Mid,1-2,TX,823
RENT,Source Verified,Lower-Mid,1-2,MA,824
OWN,Source Verified,High,6-10,MN,825
MORTGAGE,Source Verified,Lower-Mid,3-5,RI,826
RENT,Source Verified,Low,,FL,827
MORTGAGE,Source Verified,Lower-Mid,6-10,KS,828
OWN,Verified,Low,0 or less,TN,829
OWN,Verified,Lower-Mid,6-10,NY,830
MORTGAGE,Source Verified,High,1-2,ID,831
RENT,Source Verified,Upper-Mid,1-2,UT,832
MORTGAGE,Not Verified,Upper-Mid,1-2,CO,833
OWN,Source Verified,Low,3-5,CA,834
MORTGAGE,Source Verified,High,1-2,SC,835
RENT,Not Verified,Lower-Mid,1-2,LA,836
OWN,Not Verified,High,6-10,CA,837
RENT,Not Verified,Upper-Mid,6-10,NV,838
RENT,Verified,Upper-Mid,1-2,TX,839
RENT,Source Verified,Lower-Mid,6-10,KS,840
RENT,Source Verified,Upper-Mid,1-2,NY,841
RENT,Source Verified,Lower-Mid,6-10,NJ,842
RENT,Source Verified,Lower-Mid,0 or less,VA,843
RENT,Not Verified,Low,,IN,844
RENT,Source Verified,Upper-Mid,6-10,IL,845
MORTGAGE,Verified,Upper-Mid,6-10,OH,846
RENT,Not Verified,Low,6-10,OK,847
MORTGAGE,Verified,Low,6-10,IL,848
RENT,Source Verified,High,0 or less,CA,849
RENT,Not Verified,Lower-Mid,3-5,CO,850
OWN,Source Verified,Low,6-10,OH,851
MORTGAGE,Verified,Low,3-5,WI,852
MORTGAGE,Verified,Low,6-10,MO,853
MORTGAGE,Not Verified,Upper-Mid,3-5,MA,854
RENT,Verified,Low,3-5,CO,855
RENT,Not Verified,Low,3-5,NE,856
RENT,Verified,Low,6-10,NV,857
MORTGAGE,Source Verified,High,6-10,VT,858
RENT,Source Verified,Low,0 or less,MD,859
RENT,Verified,Lower-Mid,1-2,WA,860
MORTGAGE,Verified,Upper-Mid,,CA,861
MORTGAGE,Verified,High,,SC,862
MORTGAGE,Verified,Upper-Mid,6-10,GA,863
RENT,Verified,Upper-Mid,6-10,NY,864
RENT,Not Verified,Lower-Mid,6-10,MI,865
RENT,Source Verified,Low,3-5,WA,866
RENT,Not Verified,Low,6-10,VA,867
MORTGAGE,Source Verified,High,,SC,868
RENT,Not Verified,Upper-Mid,3-5,VA,869
MORTGAGE,Verified,High,6-10,CO,870
RENT,Not Verified,Low,3-5,TX,871
RENT,Source Verified,Low,3-5,PA,872
MORTGAGE,Source Verified,High,1-2,MD,873
RENT,Verified,Low,6-10,MN,874
OWN,Not Verified,Lower-Mid,6-10,KY,875
MORTGAGE,Source Verified,Upper-Mid,1-2,ID,876
MORTGAGE,Not Verified,Low,6-10,MA,877
RENT,Not Verified,High,0 or less,TX,878
RENT,Not Verified,Low,,GA,879
MORTGAGE,Verified,Lower-Mid,6-10,MN,880
MORTGAGE,Not Verified,Low,3-5,NV,881
RENT,Not Verified,Lower-Mid,,MO,882
MORTGAGE,Source Verified,High,1-2,FL,883
RENT,Verified,Low,1-2,MA,884
RENT,Not Verified,Lower-Mid,0 or less,MO,885
RENT,Verified,Low,0 or less,CA,886
OWN,Source Verified,Low,,GA,887
MORTGAGE,Not Verified,Low,6-10,VA,888
OWN,Source Verified,Upper-Mid,1-2,AL,889
MORTGAGE,Verified,Upper-Mid,3-5,MA,890
RENT,Source Verified,Low,1-2,OH,891
OWN,Not Verified,Lower-Mid,,GA,892
MORTGAGE,Source Verified,Low,1-2,SC,893
RENT,Verified,Lower-Mid,6-10,WI,894
OWN,Verified,Low,3-5,TX,895
RENT,Not Verified,Lower-Mid,,AR,896
OWN,Not Verified,Low,6-10,AR,897
RENT,Source Verified,Low,6-10,MA,898
MORTGAGE,Not Verified,High,3-5,PA,899
MORTGAGE,Source Verified,High,6-10,IN,900
MORTGAGE,Not Verified,High,,WV,901
MORTGAGE,Source Verified,Lower-Mid,3-5,IN,902
RENT,Source Verified,Lower-Mid,6-10,CO,903
RENT,Source Verified,Upper-Mid,3-5,SC,904
RENT,Source Verified,Lower-Mid,3-5,VA,905
MORTGAGE,Source Verified,Upper-Mid,6-10,KS,906
OWN,Source Verified,Upper-Mid,3-5,TN,907
MORTGAGE,Source Verified,Lower-Mid,6-10,ND,908
MORTGAGE,Source Verified,High,3-5,NC,909
RENT,Verified,Low,,CO,910
MORTGAGE,Source Verified,Upper-Mid,1-2,IL,911
MORTGAGE,Source Verified,High,3-5,NV,912
OWN,Verified,Low,6-10,OH,913
OWN,Not Verified,Upper-Mid,3-5,MD,914
OWN,Source Verified,Upper-Mid,0 or less,NH,915
RENT,Source Verified,Upper-Mid,0 or less,TX,916
RENT,Verified,Upper-Mid,3-5,NJ,917
MORTGAGE,Source Verified,High,3-5,AL,918
MORTGAGE,Not Verified,Lower-Mid,3-5,OH,919
MORTGAGE,Not Verified,High,1-2,OH,920
MORTGAGE,Not Verified,Upper-Mid,,MO,921
RENT,Not Verified,Low,,WA,922
RENT,Verified,High,0 or less,CA,923
OWN,Verified,Upper-Mid,,ID,924
MORTGAGE,Source Verified,Low,6-10,CA,925
MORTGAGE,Verified,Upper-Mid,,GA,926
MORTGAGE,Not Verified,Upper-Mid,,MD,927
RENT,Not Verified,Low,1-2,KS,928
OWN,Source Verified,Low,,NE,929
RENT,Source Verified,Low,,NC,930
MORTGAGE,Not Verified,,,OK,931
MORTGAGE,Source Verified,Low,6-10,MA,932
MORTGAGE,Verified,Lower-Mid,,MI,933
OWN,Not Verified,High,0 or less,RI,934
MORTGAGE,Not Verified,High,3-5,WA,935
RENT,Not Verified,Low,6-10,UT,936
RENT,Not Verified,Low,6-10,CA,937
MORTGAGE,Not Verified,High,6-10,SC,938
RENT,Verified,Lower-Mid,3-5,IN,939
RENT,Verified,Upper-Mid,6-10,WA,940
RENT,Not Verified,Low,0 or less,CT,941
RENT,Source Verified,Upper-Mid,1-2,DE,942
RENT,Source Verified,Upper-Mid,3-5,FL,943
OWN,Verified,Low,3-5,KY,944
MORTGAGE,Source Verified,Lower-Mid,3-5,GA,945
MORTGAGE,Not Verified,Upper-Mid,,TX,946
MORTGAGE,Source Verified,Upper-Mid,6-10,VA,947
RENT,Not Verified,High,6-10,NV,948
MORTGAGE,Not Verified,Upper-Mid,1-2,MA,949
RENT,Source Verified,High,6-10,MN,950
RENT,Source Verified,Low,3-5,MD,951
RENT,Not Verified,Upper-Mid,6-10,PA,952
RENT,Not Verified,Low,3-5,MI,953
OWN,Source Verified,Low,6-10,GA,954
RENT,Source Verified,Low,6-10,CT,955
RENT,Source Verified,Lower-Mid,6-10,CA,956
RENT,Not Verified,High,3-5,NC,957
MORTGAGE,Verified,Upper-Mid,6-10,OK,958
RENT,Source Verified,Low,1-2,AR,959
OWN,Not Verified,Low,,PA,960
RENT,Verified,Upper-Mid,1-2,AZ,961
MORTGAGE,Not Verified,Lower-Mid,6-10,WI,962
MORTGAGE,Verified,Low,,AZ,963
RENT,Verified,Low,3-5,NV,964
MORTGAGE,Verified,Low,6-10,GA,965
RENT,Not Verified,Low,1-2,NV,966
MORTGAGE,Verified,High,6-10,AL,967
RENT,Not Verified,Low,3-5,MO,968
MORTGAGE,Source Verified,Lower-Mid,1-2,FL,969
MORTGAGE,Not Verified,Lower-Mid,1-2,CO,970
RENT,Source Verified,Lower-Mid,6-10,GA,971
RENT,Not Verified,Low,3-5,KS,972
MORTGAGE,Source Verified,High,6-10,MS,973
OWN,Source Verified,Upper-Mid,6-10,WY,974
RENT,Verified,Lower-Mid,6-10,OR,975
OWN,Not Verified,Lower-Mid,3-5,TX,976
OWN,Source Verified,High,6-10,CA,977
MORTGAGE,Not Verified,,,WA,978
MORTGAGE,Verified,Upper-Mid,3-5,TN,979
MORTGAGE,Source Verified,Low,3-5,OH,980
OWN,Source Verified,Lower-Mid,1-2,CA,981
OWN,Not Verified,Upper-Mid,6-10,WI,982
MORTGAGE,Verified,Lower-Mid,3-5,IN,983
RENT,Source Verified,Lower-Mid,3-5,GA,984
MORTGAGE,Not Verified,High,0 or less,NC,985
MORTGAGE,Source Verified,High,0 or less,MI,986
MORTGAGE,Verified,High,1-2,IN,987
MORTGAGE,Not Verified,Upper-Mid,1-2,AL,988
RENT,Not Verified,Upper-Mid,1-2,WA,989
OWN,Source Verified,Low,1-2,IN,990
MORTGAGE,Not Verified,Lower-Mid,6-10,NY,991
MORTGAGE,Verified,Upper-Mid,6-10,OR,992
MORTGAGE,Source Verified,Lower-Mid,1-2,WA,993
RENT,Not Verified,Low,0 or less,NV,994
MORTGAGE,Not Verified,High,6-10,CO,995
RENT,Source Verified,Lower-Mid,3-5,PA,996
MORTGAGE,Verified,Lower-Mid,1-2,IN,997
MORTGAGE,Verified,Upper-Mid,1-2,TX,998
RENT,Verified,High,1-2,MA,999
MORTGAGE,Source Verified,Upper-Mid,3-5,MD,1000
MORTGAGE,Source Verified,Lower-Mid,6-10,AZ,1001
MORTGAGE,Source Verified,Upper-Mid,0 or less,VA,1002
MORTGAGE,Source Verified,Lower-Mid,6-10,TX,1003
MORTGAGE,Verified,High,3-5,FL,1004
RENT,Verified,Lower-Mid,6-10,ND,1005
MORTGAGE,Source Verified,High,,TX,1006
RENT,Source Verified,Low,0 or less,NY,1007
MORTGAGE,Not Verified,Low,0 or less,TN,1008
RENT,Source Verified,Lower-Mid,3-5,TX,1009
RENT,Source Verified,Upper-Mid,6-10,GA,1010
MORTGAGE,Verified,Upper-Mid,1-2,GA,1011
MORTGAGE,Source Verified,Lower-Mid,0 or less,NY,1012
RENT,Not Verified,Low,1-2,TX,1013
RENT,Verified,High,3-5,FL,1014
MORTGAGE,Not Verified,High,6-10,NJ,1015
RENT,Not Verified,Lower-Mid,3-5,MS,1016
RENT,Verified,Upper-Mid,6-10,NC,1017
OWN,Source Verified,Upper-Mid,6-10,KY,1018
RENT,Not Verified,High,6-10,IL,1019
OWN,Not Verified,Upper-Mid,3-5,VA,1020
MORTGAGE,Not Verified,High,6-10,NC,1021
RENT,Source Verified,Low,6-10,NJ,1022
MORTGAGE,Source Verified,High,3-5,MS,1023
MORTGAGE,Not Verified,Upper-Mid,0 or less,IN,1024
RENT,Not Verified,Upper-Mid,3-5,IN,1025
RENT,Not Verified,Upper-Mid,3-5,NC,1026
RENT,Source Verified,Upper-Mid,6-10,CA,1027
OWN,Not Verified,Low,3-5,SC,1028
MORTGAGE,Not Verified,Lower-Mid,6-10,FL,1029
RENT,Not Verified,Lower-Mid,0 or less,MI,1030
MORTGAGE,Source Verified,Low,0 or less,NC,1031
OWN,Not Verified,High,3-5,VA,1032
OWN,Source Verified,Lower-Mid,3-5,IL,1033
RENT,Source Verified,Low,6-10,TX,1034
RENT,Not Verified,Lower-Mid,3-5,NH,1035
OWN,Verified,Low,6-10,NJ,1036
MORTGAGE,Not Verified,High,6-10,PA,1037
RENT,Verified,Low,6-10,MA,1038
OWN,Verified,Upper-Mid,6-10,ND,1039
RENT,Not Verified,High,6-10,CT,1040
MORTGAGE,Source Verified,Low,3-5,FL,1041
OWN,Verified,Lower-Mid,6-10,SC,1042
RENT,Not Verified,Lower-Mid,6-10,IL,1043
MORTGAGE,Verified,Lower-Mid,1-2,NJ,1044
OWN,Not Verified,Low,6-10,MN,1045
RENT,Not Verified,Low,,CT,1046
RENT,Verified,Upper-Mid,6-10,KY,1047
MORTGAGE,Source Verified,Lower-Mid,6-10,MD,1048
OWN,Not Verified,Lower-Mid,6-10,CT,1049
MORTGAGE,Source Verified,High,3-5,IL,1050
MORTGAGE,Not Verified,Upper-Mid,1-2,TX,1051
OWN,Verified,Upper-Mid,3-5,AL,1052
OWN,Verified,Lower-Mid,3-5,SC,1053
RENT,Source Verified,High,0 or less,NY,1054
OWN,Source Verified,Upper-Mid,6-10,IL,1055
RENT,Source Verified,Low,3-5,NJ,1056
RENT,Not Verified,Low,1-2,WI,1057
MORTGAGE,Source Verified,High,6-10,ID,1058
OWN,Source Verified,High,6-10,VA,1059
RENT,Not Verified,High,0 or less,NY,1060
RENT,Source Verified,Low,1-2,PA,1061
OWN,Not Verified,Low,6-10,TX,1062
MORTGAGE,Not Verified,Low,1-2,MI,1063
OWN,Source Verified,Low,,OK,1064
OWN,Source Verified,Low,1-2,OR,1065
MORTGAGE,Source Verified,Upper-Mid,1-2,MA,1066
RENT,Source Verified,Low,0 or less,AZ,1067
OWN,Verified,Lower-Mid,6-10,TX,1068
RENT,Source Verified,Low,6-10,NE,1069
RENT,Verified,Low,1-2,PA,1070
RENT,Source Verified,Lower-Mid,1-2,CO,1071
OWN,Not Verified,Low,,NJ,1072
MORTGAGE,Verified,Low,6-10,ME,1073
RENT,Not Verified,Upper-Mid,,CA,1074
RENT,Verified,Low,,MA,1075
OWN,Verified,High,,CA,1076
RENT,Verified,High,6-10,AZ,1077
MORTGAGE,Source Verified,High,6-10,IL,1078
RENT,Not Verified,Low,6-10,MD,1079
MORTGAGE,Not Verified,High,6-10,OK,1080
MORTGAGE,Verified,Low,6-10,AZ,1081
RENT,Not Verified,Low,6-10,FL,1082
RENT,Source Verified,High,3-5,NJ,1083
RENT,Not Verified,Low,3-5,NJ,1084
MORTGAGE,Not Verified,Lower-Mid,,IL,1085
OWN,Not Verified,Low,,IL,1086
MORTGAGE,Verified,Upper-Mid,3-5,OH,1087
MORTGAGE,Not Verified,Lower-Mid,1-2,WI,1088
RENT,Not Verified,Low,1-2,NY,1089
MORTGAGE,Source Verified,Lower-Mid,3-5,SD,1090
RENT,Source Verified,Low,3-5,FL,1091
MORTGAGE,Source Verified,Low,6-10,NE,1092
