loan_purpose,term,term_bucket,grade,sub_grade,disbursement_method,application_type,loan_product_id
debt_consolidation,60,60,G,G1,Cash,joint,597
home_improvement,60,60,E,E4,Cash,individual,598
vacation,36,36,D,D2,Cash,individual,599
debt_consolidation,60,60,F,F2,Cash,joint,600
home_improvement,36,36,D,D1,Cash,joint,601
major_purchase,36,36,D,D5,Cash,individual,602
car,60,60,D,D3,Cash,joint,603
medical,36,36,B,B5,Cash,individual,604
vacation,36,36,C,C5,Cash,individual,605
debt_consolidation,60,60,A,A1,DirectPay,individual,606
medical,60,60,D,D3,Cash,individual,607
renewable_energy,36,36,A,A2,Cash,individual,608
vacation,36,36,D,D3,Cash,individual,609
home_improvement,36,36,D,D4,Cash,individual,610
debt_consolidation,60,60,A,A5,Cash,individual,611
major_purchase,36,36,B,B3,DirectPay,individual,612
credit_card,60,60,E,E2,Cash,joint,613
home_improvement,36,36,B,B4,Cash,joint,614
car,36,36,B,B1,Cash,joint,615
other,36,36,D,D1,Cash,joint,616
debt_consolidation,36,36,E,E4,Cash,joint,617
house,36,36,B,B2,Cash,joint,618
vacation,36,36,C,C3,Cash,individual,619
other,36,36,E,E3,Cash,individual,620
debt_consolidation,60,60,B,B4,DirectPay,joint,621
debt_consolidation,36,36,F,F2,Cash,individual,622
home_improvement,60,60,A,A4,Cash,joint,623
medical,60,60,C,C5,Cash,joint,624
medical,60,60,C,C1,Cash,joint,625
moving,60,60,C,C2,Cash,joint,626
major_purchase,60,60,E,E4,Cash,individual,627
other,36,36,D,D3,Cash,joint,628
small_business,60,60,B,B5,Cash,joint,629
car,60,60,C,C5,Cash,individual,630
moving,36,36,D,D3,Cash,individual,631
home_improvement,60,60,C,C3,Cash,joint,632
other,36,36,E,E2,Cash,joint,633
car,36,36,C,C2,Cash,joint,634
debt_consolidation,36,36,D,D1,DirectPay,joint,635
small_business,36,36,A,A3,Cash,joint,636
vacation,36,36,E,E2,Cash,joint,637
major_purchase,60,60,E,E5,Cash,individual,638
credit_card,36,36,E,E4,Cash,joint,639
house,60,60,B,B1,Cash,joint,640
medical,36,36,C,C2,Cash,joint,641
car,60,60,C,C2,Cash,individual,642
house,36,36,C,C1,Cash,individual,643
debt_consolidation,60,60,D,D2,DirectPay,individual,644
home_improvement,60,60,B,B3,Cash,individual,645
credit_card,60,60,C,C3,DirectPay,individual,646
credit_card,36,36,D,D2,Cash,joint,647
small_business,36,36,C,C2,Cash,joint,648
medical,36,36,D,D5,Cash,joint,649
medical,60,60,B,B2,Cash,individual,650
car,60,60,E,E3,Cash,individual,651
major_purchase,60,60,A,A4,Cash,individual,652
home_improvement,36,36,E,E2,Cash,joint,653
car,36,36,D,D1,Cash,individual,654
vacation,36,36,D,D4,Cash,individual,655
medical,36,36,B,B3,Cash,individual,656
medical,36,36,D,D2,Cash,individual,657
medical,36,36,D,D1,Cash,individual,658
car,36,36,D,D2,Cash,individual,659
credit_card,36,36,C,C5,DirectPay,individual,660
major_purchase,60,60,B,B5,Cash,joint,661
house,36,36,D,D5,Cash,individual,662
other,36,36,D,D5,Cash,joint,663
other,60,60,D,D1,Cash,individual,664
small_business,60,60,C,C3,Cash,individual,665
small_business,36,36,E,E3,Cash,individual,666
debt_consolidation,36,36,F,F4,Cash,individual,667
credit_card,36,36,B,B5,DirectPay,joint,668
house,60,60,D,D5,Cash,individual,669
small_business,36,36,C,C1,Cash,individual,670
major_purchase,60,60,B,B1,Cash,joint,671
credit_card,60,60,D,D4,DirectPay,individual,672
major_purchase,36,36,A,A2,Cash,joint,673
moving,36,36,A,A3,Cash,individual,674
renewable_energy,36,36,C,C5,Cash,individual,675
house,36,36,D,D2,Cash,individual,676
other,36,36,C,C3,Cash,joint,677
moving,36,36,E,E5,Cash,individual,678
home_improvement,60,60,C,C5,DirectPay,individual,679
credit_card,60,60,E,E5,Cash,joint,680
debt_consolidation,60,60,B,B5,DirectPay,joint,681
medical,36,36,C,C1,Cash,joint,682
small_business,36,36,B,B1,Cash,joint,683
credit_card,60,60,D,D1,DirectPay,individual,684
credit_card,36,36,B,B2,DirectPay,joint,685
moving,36,36,C,C2,Cash,joint,686
major_purchase,60,60,D,D3,Cash,joint,687
other,60,60,E,E5,Cash,joint,688
vacation,36,36,B,B5,Cash,individual,689
small_business,60,60,B,B1,Cash,joint,690
medical,36,36,D,D2,Cash,joint,691
debt_consolidation,60,60,D,D3,DirectPay,individual,692
small_business,36,36,A,A4,Cash,joint,693
medical,60,60,E,E3,Cash,individual,694
debt_consolidation,60,60,C,C5,DirectPay,individual,695
car,60,60,B,B5,Cash,individual,696
major_purchase,36,36,D,D5,Cash,joint,697
house,60,60,D,D4,Cash,individual,698
medical,36,36,A,A2,Cash,joint,699
vacation,36,36,D,D1,Cash,individual,700
debt_consolidation,36,36,E,E3,Cash,joint,701
small_business,60,60,D,D4,Cash,individual,702
home_improvement,60,60,E,E3,Cash,joint,703
other,36,36,A,A1,Cash,joint,704
credit_card,60,60,B,B3,DirectPay,joint,705
car,60,60,C,C3,Cash,individual,706
other,60,60,D,D4,Cash,individual,707
small_business,60,60,G,G1,Cash,joint,708
home_improvement,36,36,B,B3,Cash,joint,709
car,60,60,C,C1,Cash,joint,710
vacation,60,60,D,D3,Cash,individual,711
medical,60,60,C,C4,Cash,joint,712
debt_consolidation,36,36,D,D2,DirectPay,individual,713
house,36,36,D,D3,Cash,individual,714
major_purchase,60,60,B,B2,Cash,joint,715
car,36,36,D,D3,Cash,joint,716
vacation,36,36,A,A3,Cash,individual,717
moving,36,36,C,C4,Cash,individual,718
major_purchase,60,60,E,E4,Cash,joint,719
small_business,36,36,A,A5,Cash,joint,720
moving,36,36,D,D5,Cash,individual,721
renewable_energy,36,36,B,B1,Cash,individual,722
car,36,36,E,E2,Cash,joint,723
car,60,60,C,C1,Cash,individual,724
car,36,36,A,A4,Cash,joint,725
credit_card,36,36,A,A3,DirectPay,joint,726
other,60,60,D,D4,Cash,joint,727
debt_consolidation,60,60,A,A3,DirectPay,joint,728
other,36,36,E,E1,Cash,joint,729
credit_card,36,36,E,E2,Cash,joint,730
debt_consolidation,60,60,C,C2,DirectPay,joint,731
medical,36,36,E,E4,Cash,individual,732
home_improvement,60,60,E,E2,Cash,individual,733
debt_consolidation,60,60,F,F4,Cash,joint,734
home_improvement,60,60,D,D2,Cash,joint,735
car,60,60,B,B1,Cash,individual,736
small_business,36,36,E,E1,Cash,individual,737
small_business,60,60,C,C5,Cash,individual,738
other,60,60,C,C1,Cash,joint,739
other,36,36,E,E5,Cash,individual,740
credit_card,60,60,E,E4,Cash,joint,741
credit_card,60,60,E,E3,Cash,joint,742
debt_consolidation,60,60,C,C3,DirectPay,joint,743
medical,36,36,C,C4,DirectPay,individual,744
small_business,60,60,B,B2,Cash,individual,745
home_improvement,60,60,E,E5,Cash,individual,746
moving,60,60,E,E4,Cash,individual,747
debt_consolidation,60,60,A,A5,DirectPay,joint,748
house,60,60,E,E3,Cash,individual,749
small_business,60,60,D,D1,Cash,individual,750
renewable_energy,60,60,D,D3,Cash,joint,751
other,60,60,C,C5,Cash,joint,752
car,36,36,D,D5,Cash,individual,753
vacation,60,60,B,B3,Cash,individual,754
car,60,60,E,E4,Cash,individual,755
small_business,36,36,B,B4,Cash,joint,756
moving,60,60,C,C1,Cash,individual,757
credit_card,36,36,D,D4,DirectPay,individual,758
medical,60,60,B,B2,Cash,joint,759
small_business,60,60,D,D3,Cash,joint,760
car,60,60,C,C5,Cash,joint,761
credit_card,60,60,F,F5,Cash,joint,762
moving,36,36,D,D1,Cash,individual,763
home_improvement,36,36,E,E1,Cash,individual,764
major_purchase,36,36,E,E5,Cash,individual,765
medical,60,60,B,B5,Cash,joint,766
credit_card,60,60,D,D2,DirectPay,individual,767
small_business,36,36,D,D2,Cash,joint,768
house,60,60,E,E5,Cash,individual,769
vacation,36,36,A,A1,Cash,individual,770
moving,36,36,A,A1,Cash,individual,771
major_purchase,60,60,C,C1,Cash,joint,772
credit_card,60,60,F,F3,Cash,individual,773
house,60,60,D,D2,Cash,individual,774
home_improvement,36,36,E,E4,Cash,individual,775
home_improvement,36,36,E,E5,Cash,joint,776
debt_consolidation,36,36,B,B5,DirectPay,joint,777
house,36,36,A,A5,Cash,joint,778
medical,60,60,D,D3,Cash,joint,779
car,60,60,B,B3,Cash,individual,780
medical,60,60,E,E3,Cash,joint,781
other,60,60,F,F2,Cash,individual,782
home_improvement,60,60,C,C2,DirectPay,individual,783
major_purchase,60,60,C,C2,Cash,joint,784
small_business,60,60,D,D5,Cash,individual,785
small_business,60,60,D,D1,Cash,joint,786
medical,60,60,F,F1,Cash,individual,787
house,60,60,D,D3,Cash,individual,788
car,36,36,C,C4,Cash,individual,789
medical,60,60,D,D4,Cash,individual,790
medical,60,60,C,C5,Cash,individual,791
small_business,60,60,A,A4,Cash,individual,792
car,36,36,C,C3,Cash,joint,793
debt_consolidation,60,60,D,D5,DirectPay,individual,794
moving,36,36,E,E3,Cash,individual,795
small_business,36,36,D,D5,Cash,individual,796
major_purchase,60,60,B,B4,Cash,joint,797
moving,36,36,C,C2,Cash,individual,798
house,60,60,D,D4,Cash,joint,799
house,36,36,C,C4,Cash,individual,800
